"","station","lat","lng","toWorkRate","fromWorkRate","totalWorkRate","weekendRate","weekdayType","weekendType"
"98","성수",37.544581,127.055961,0.909214644654179,0.950603335166573,0.93096600459792,0.770465387116207,"> 0.9","Between"
"99","송정",37.561184,126.811973,0.66488261293433,0.663476631214311,0.664162522209411,0.574531210178243,"< 0.7","< 0.7 "
"100","송파",37.499703,127.112183,0.799132170204561,0.852761068172185,0.82491486007095,0.663116210786586,"Between","< 0.7 "
"101","수락산",37.67785,127.055315,0.849484482028538,0.84597233079017,0.847717328639662,0.725158661783682,"Between","Between"
"102","수서",37.487371,127.10188,0.811498049157736,0.806356138596749,0.808728806352996,0.649545526892273,"Between","< 0.7 "
"103","수진",37.437428,127.140722,0.837105477988403,0.81179426476765,0.82456148318713,0.65357518034934,"Between","< 0.7 "
"104","시청",37.564718,126.977108,0.817081747383616,0.769038056201508,0.791237473480755,0.437697259110857,"Between","< 0.7 "
"105","신금호",37.554548,127.020331,0.806293807956304,0.842153790209008,0.82390619377468,0.671218001784697,"Between","< 0.7 "
"106","신길",37.517122,126.917169,0.918643990045529,0.957454010605139,0.937586854987709,0.762059116970758,"> 0.9","Between"
"107","신답",37.57004,127.046481,0.836801927872553,0.915155591100771,0.876913600005955,0.665451302800615,"Between","< 0.7 "
"108","신당",37.565972,127.01782,0.816263449334812,0.813553715439213,0.814765198159213,0.666110173986315,"Between","< 0.7 "
"109","신대방",37.487462,126.913149,0.841947243861684,0.858013551130746,0.849919846056983,0.685341390512352,"Between","< 0.7 "
"110","신대방삼거리",37.499701,126.928276,0.845136685791428,0.871834362894388,0.858364173874027,0.711857736664803,"Between","Between"
"111","신도림",37.508725,126.891295,0.813534754091189,0.778747338261967,0.793448772662381,0.597824472403572,"Between","< 0.7 "
"112","신림",37.484201,126.929715,0.839855979574822,0.839091985838799,0.839454195300241,0.674847647282894,"Between","< 0.7 "
"113","신사",37.516334,127.020114,0.874359824529752,0.803378881714498,0.824940451401703,0.619542225873361,"Between","< 0.7 "
"114","신설동",37.575297,127.025087,0.807644251276431,0.789393220684397,0.797457369339814,0.616124445753813,"Between","< 0.7 "
"115","신용산",37.52917,126.967894,0.853247811165803,0.818579475127167,0.832886126103163,0.590083097908754,"Between","< 0.7 "
"116","신정네거리",37.520074,126.852912,0.866883254538177,0.866355323760499,0.866611482704047,0.677766286548912,"Between","< 0.7 "
"117","신중동",37.503048,126.77596,0.87236378155165,0.844621853489313,0.857592936733051,0.676512526090625,"Between","< 0.7 "
"118","신촌",37.555134,126.936893,0.754203369110916,0.652627344798293,0.683194068128013,0.533974581226657,"< 0.7","< 0.7 "
"119","신풍",37.50008,126.90993,0.870665991145553,0.863460306274835,0.867085058110153,0.65536638986589,"Between","< 0.7 "
"120","신흥",37.440918,127.147564,0.894849802293786,0.830417197546594,0.858096356829571,0.682011963677083,"Between","< 0.7 "
"121","쌍문",37.648627,127.034709,0.83104390860176,0.850112322687808,0.840208182169666,0.680838978936706,"Between","< 0.7 "
"122","아현",37.557345,126.956141,0.813894794172651,0.808211319738501,0.81095340825449,0.656646799849451,"Between","< 0.7 "
"123","안국",37.576477,126.985443,0.80660961856037,0.740196290947268,0.769175385589213,0.477222984899,"Between","< 0.7 "
"124","암사",37.55021,127.127562,0.867046503016675,0.893525541654357,0.879331916545975,0.713181959375427,"Between","Between"
"125","압구정",37.527072,127.028461,0.80483739402657,0.814731443986592,0.811074936849655,0.647761393105151,"Between","< 0.7 "
"126","애오개",37.553736,126.95682,0.828988716886271,0.840609162984665,0.834737351763585,0.646540657429549,"Between","< 0.7 "
"127","약수",37.55434,127.010655,0.818278918844111,0.814763711091114,0.816306747151171,0.668330684617998,"Between","< 0.7 "
"128","양천구청",37.512398,126.865819,0.816054330966321,0.850331972901982,0.832828021779612,0.663510794967803,"Between","< 0.7 "
"129","여의나루",37.527098,126.932901,0.855832326895809,0.706295882743854,0.768222742294101,0.414130086454254,"Between","< 0.7 "
"130","여의도",37.521624,126.924191,0.882520047535131,0.867671386688803,0.874980171247512,0.575134398101803,"Between","< 0.7 "
"131","역삼",37.500622,127.036456,0.853986544361511,0.847203339493323,0.850126397864597,0.673070007773472,"Between","< 0.7 "
"132","역촌",37.606021,126.922744,0.844167699894271,0.844756843570553,0.84446232990375,0.6655167977597,"Between","< 0.7 "
"133","연신내",37.619001,126.921008,0.82044820637769,0.832381855416079,0.826635474673249,0.695193526030669,"Between","< 0.7 "
"134","영등포구청",37.52497,126.895951,0.89873591419513,0.901053557847095,0.899962816527284,0.721410549056647,"Between","Between"
"135","영등포시장",37.522669,126.905139,0.865846979865772,0.817742771160346,0.839306694847756,0.581043145196232,"Between","< 0.7 "
"136","오금",37.502162,127.128111,0.822876393398489,0.851521038682255,0.836133810722316,0.668864111961203,"Between","< 0.7 "
"137","옥수",37.540685,127.017965,0.800071215364935,0.844247093998862,0.824746213185582,0.687029776877286,"Between","< 0.7 "
"138","용답",37.561904,127.050899,0.811556415208904,0.837598003443592,0.824943861026335,0.709175614556001,"Between","Between"
"139","용마산",37.573647,127.086727,0.142783115097185,0.149475983476601,0.145818844064907,0.132831114696092,"< 0.7","< 0.7 "
"140","우장산",37.548768,126.836318,0.769503542890238,0.799131960379879,0.783948863932791,0.643868886339522,"Between","< 0.7 "
"141","을지로3가",37.566295,126.99191,0.883440941549378,0.810150560394126,0.841413019158361,0.51974916328838,"Between","< 0.7 "
"142","을지로4가",37.566941,126.998079,1.01606259886781,0.924665855789961,0.961929648502116,0.606661643165553,"> 0.9","< 0.7 "
"143","을지로입구",37.566014,126.982618,0.816877082092258,0.718346578826353,0.759728004088226,0.454945924986307,"Between","< 0.7 "
"144","응암",37.598605,126.915577,0.854151699026204,0.864250418513477,0.859235994897253,0.705709348267961,"Between","Between"
"145","이대",37.556733,126.946013,0.727262931262162,0.562253897353442,0.618877006135954,0.453553484470691,"< 0.7","< 0.7 "
