지하철역,time_04_05,time_05_06,time_06_07,time_07_08,time_08_09,time_09_10,time_10_11,time_11_12,time_12_13,time_13_14,time_14_15,time_15_16,time_16_17,time_17_18,time_18_19,time_19_20,time_20_21,time_21_22,time_22_23,time_23_24,time_00_01,time_01_02,time_02_03,time_03_04
선정릉,134,42342,178639,442464,1321022,1096227,469835,353933,357779,395996,404487,405709,471028,706920,1278259,782794,411997,374299,293386,116706,12070,39,1,0
성균관대,1374,111890,337619,784671,771104,398249,292037,289718,310273,343082,319403,345402,421095,573913,840292,691935,437142,386933,325302,192689,36809,6,1,1
성수,383,101875,423010,1010947,3235626,1574230,683182,586484,623101,731075,739924,803068,916268,1474965,2833915,1358829,761570,692848,518063,245098,55732,2912,18,0
성신여대입구(돈암),559,90486,282849,731376,1128762,791301,589085,592479,678090,728936,737598,786082,871280,1066650,1417565,1053249,741320,700464,603285,323937,23993,121,5,1
성환,331,27492,53141,160457,171385,103323,93818,99138,116210,123215,115682,116098,138130,196926,184255,108867,95941,76360,54239,40409,6418,15,0,1
세류,4286,44674,106850,197981,151483,82518,71606,69676,70778,71566,69277,77205,97070,131964,172400,140988,98264,82818,61834,33195,9830,3,0,0
세마,2579,27388,71598,129346,139533,77785,55759,56380,56623,63232,60950,58505,81230,103123,138336,102438,70576,62666,47979,25892,2090,0,0,0
세종대왕릉,3,1948,5457,13764,14345,9573,9880,10682,9714,8646,11210,10924,12489,13118,13632,11606,5458,5390,2728,3208,928,0,0,0
소래포구,41,29036,82037,187771,189607,126906,122173,181455,226492,221275,236148,243191,227933,217576,230732,164227,116163,105550,84103,52323,9523,0,2,0
소사,14129,217532,251903,480371,497004,321977,268358,254298,273248,266989,261709,266240,308292,393824,486429,397914,242200,231231,188460,114489,27182,27,0,0
소요산,829,14399,28999,84572,86571,108946,129251,176981,186887,185248,204590,209897,187964,139811,90901,51709,37272,25905,17144,11019,5665,3,0,0
솔밭공원,103,23698,48111,114983,123211,86432,71166,66980,73917,73976,75315,77980,83985,85203,104107,96850,59717,47855,37921,24830,2852,43,2,0
솔샘,28,30266,105510,324421,346767,195300,133774,118404,129244,134959,130392,142872,161464,187545,286798,263981,147750,123536,102747,60070,6179,21,0,0
송내,16192,270379,600172,1575850,1889290,985505,622078,595315,648869,643455,613796,655975,791889,1095029,1859713,1349882,808297,694539,574018,334320,62431,33,1,0
송도,14,21259,51066,120367,131683,68732,61258,68520,77176,78540,75401,81196,91448,107351,133452,86707,55216,51595,39717,26926,5740,0,0,0
송정,532,58332,137684,308829,388734,240328,186905,180826,189129,193567,194596,213084,234611,289651,374011,274403,181421,160450,137071,79790,11216,37,2,0
송탄,888,75300,113954,176426,177824,115071,105095,113375,118057,125003,119373,133775,155821,189113,217130,178982,132111,123073,99538,54030,6591,7,0,0
송파,21,36850,147721,417293,575157,316756,212024,200020,222081,229184,227491,256546,287947,337703,505212,357205,211612,194072,148264,89096,12900,593,0,0
송파나루,2,21774,53965,150705,248057,168658,100186,105272,110336,130030,119027,125893,146951,190417,294482,219584,128416,126700,103075,54217,4888,25,0,0
