지하철역,time_04_05,time_05_06,time_06_07,time_07_08,time_08_09,time_09_10,time_10_11,time_11_12,time_12_13,time_13_14,time_14_15,time_15_16,time_16_17,time_17_18,time_18_19,time_19_20,time_20_21,time_21_22,time_22_23,time_23_24,time_00_01,time_01_02,time_02_03,time_03_04
4.19민주묘지,203,20545,51112,117187,208192,148623,143549,134316,136260,138999,136729,138153,165356,167303,169795,141176,93067,79410,67249,41874,11824,92,11,0
가능,4980,122941,223960,380158,524016,317491,257256,233544,243700,248687,233249,235814,268700,348969,397239,348196,235536,185251,176560,115306,27858,31,0,0
가락시장,372,101135,295977,689649,1381642,799606,624545,640313,648882,678237,690470,748670,805822,953935,1387350,861661,612804,578456,499454,272014,79925,8131,100,0
가산디지털단지,28867,302709,616497,2169092,7392453,3850134,1352401,1168954,1235282,1382645,1391207,1495283,1721066,3159009,6280341,3103522,1761252,1586804,1010970,513856,81684,250,28,0
가양,864,195471,426933,1242035,1508448,865262,658624,619576,649604,702597,671936,720443,833218,1012967,1350341,1098699,713195,630337,605685,376171,112336,3641,5,0
가오리,119,32316,86228,233080,281325,189251,156628,147156,158554,155932,147723,160981,183525,192465,221148,209027,135372,108807,93060,58047,16763,81,17,0
가좌,60,35337,125170,283045,398171,244609,194279,170519,200479,194731,194872,208288,239720,268960,311115,256050,162832,141370,105176,80906,13417,20,0,0
가천대,351,73045,129949,302135,737137,601129,445768,285230,403791,371037,368660,402034,490605,530479,543818,437970,325926,322918,324762,227951,30076,18,0,0
가평,4,10996,32055,69957,130968,108588,124529,171077,163395,110400,122704,125655,123615,142212,127523,78862,55298,45338,30564,18862,5094,0,0,0
간석,5393,86568,184514,386963,426773,257085,208651,205525,220625,221232,208259,226042,268780,322552,394285,341272,232005,206471,184222,120573,40192,31,0,0
갈매,123,22408,59869,224524,197345,114153,81362,60151,67484,68523,72839,82264,86795,115472,137926,164433,89073,69142,66953,38023,10649,2,0,0
강남,3561,356611,997253,2624539,5195217,5283448,3043586,2941598,3265683,4032688,3780348,4052428,4428080,5613891,8037809,5598838,3733893,4052987,4152648,2008179,422582,4212,120,0
강남구청,523,64668,287048,708594,2283936,1871853,932449,761979,761503,871728,874645,940606,968259,1213590,2192787,1369598,840125,774869,625450,303436,62907,168,12,0
강동,518,154621,444450,1145326,1519372,891806,640971,592567,627420,645750,623115,667925,758447,1002738,1245597,924454,608097,555062,508047,304002,109233,429,39,0
강동구청,137,68362,193494,563274,965518,490687,345617,311803,330657,363936,356342,372185,436501,525684,786561,518157,332051,300846,278542,139741,45184,164,0,0
강매,0,25651,80496,239477,245574,112261,80392,73771,71461,73783,69233,78545,89581,114865,156170,152342,90343,82062,72656,49715,19110,18,0,0
강변(동서울터미널),439,162749,753525,1606367,2477107,2052110,1731300,1655413,1702546,1789017,1791060,1931089,2113396,2339453,2951014,2363757,1759174,1552550,1281899,637167,143692,2685,60,0
강촌,24,1896,5066,10630,32515,31212,37497,47107,32296,30548,32056,39497,43702,36820,26532,15876,10907,8793,5897,4107,629,0,0,0
개롱,6,58118,140309,462292,512287,296630,222892,209617,242533,240399,222891,255553,317005,363062,457388,371389,223863,209258,215880,110097,40534,123,0,0
개봉,16650,303525,616529,1456305,1549184,1018769,776790,742641,819154,776103,799409,851359,1007750,1232720,1608304,1306937,874078,795141,688599,419547,48159,18,0,0
개포동,27,13334,93944,161736,221091,162915,137038,107795,130164,131920,123092,133957,165777,197255,211210,156799,107989,102647,100048,53942,6214,4,1,0
개화,128,39603,203109,477887,408334,219199,165083,142623,129803,121840,122016,144595,168972,220088,283271,260090,152770,113137,100163,59626,20037,1209,3,2
개화산,11,55523,149154,374384,488300,230962,168950,167946,183655,185481,178836,193038,219664,288406,406294,293141,186271,169729,160457,81272,29501,1751,20,0
거여,1,62566,194710,527401,594619,330017,240252,217971,248161,256647,235844,265182,339801,382986,464915,371657,231954,212389,202701,108649,39961,147,0,0
건대입구,5311,344844,690320,1479937,2985548,2204454,1735488,1762284,2093990,2322427,2369895,2545929,2882879,3642441,4839582,3802402,2814273,2792596,2701352,1670317,420636,22736,150,0
검암,19992,125869,255567,632151,580318,276850,209410,203934,215779,202934,202764,211782,261653,332567,539916,473253,318196,265695,274104,175625,95375,130,0,0
경기광주,1,24688,167853,462328,573505,303523,217645,200415,203266,201556,195965,215614,267085,333572,466767,401313,264793,224209,160318,112286,649,2,0,0
경마공원,51,9949,52802,98693,249138,372081,459840,334624,328158,348620,307082,267961,316397,491558,950513,179255,91216,114989,34172,14275,5141,17,0,0
경복궁(정부서울청사),1551,58263,249320,713158,1883671,1336958,1023140,1040305,1060710,1214417,1194532,1244529,1374310,1516245,1995246,991475,691538,701321,525949,237003,50044,1085,27,0
경찰병원,201,35067,125605,387673,734751,406991,282480,244662,242325,276343,270825,269420,285747,378205,537562,349954,230620,209199,184842,109028,27548,165,3,0
계양,163,121948,315393,827504,725798,424185,304739,286305,280589,272391,267288,290527,355272,435050,625067,634127,410846,350579,376086,223420,60179,110,0,0
고덕,19,59322,229580,611858,599695,389474,338484,332891,354887,362695,352436,383114,452017,492575,577635,490730,298595,261782,262126,142050,40484,4603,27,0
고려대(종암),368,53060,159826,404502,771729,411682,361501,295637,319563,368779,309679,349150,421424,524021,611856,437096,297174,325381,303351,205594,49205,1020,27,0
고속터미널,2643,242940,1136913,2125023,3438497,3643810,3531402,4112961,4295320,4556763,4818312,5192734,5505227,6119089,6464793,5035091,4334152,3379112,2455090,1106426,162031,3683,38,1
고잔,3757,65050,225708,519118,615630,383427,324312,310298,308151,317953,314430,306801,344546,454776,558069,376997,279658,231613,202819,148294,68984,909,0,0
곡산,4,5713,15939,37351,54275,23979,18714,18696,18602,19125,22407,22809,24187,30015,44105,23595,16166,13448,11533,6203,1668,3,0,0
곤지암,11,9372,38582,133200,157372,106655,79966,76288,77062,78220,76341,85888,105341,138728,146200,108515,63204,61315,41161,29826,15,1,0,0
공덕,2797,162170,480210,1541288,3691097,1867417,1108380,1121204,1165782,1242550,1201621,1266027,1471200,2061368,3700526,1891531,1269812,1246661,1098614,629708,164372,5730,138,0
공릉(서울과학기술대),450,97326,232647,640071,924491,548012,425990,387594,447942,469691,430413,478713,577724,655149,839333,713356,466763,422386,393348,279031,88390,320,9,0
공항시장,148,39933,73856,131347,168718,124582,103826,98062,108249,114987,115508,121406,138314,153725,185377,166787,118442,104723,98393,69335,22857,1272,0,0
공항화물청사,36,12630,113024,202150,371326,86469,37317,55551,58216,40446,39155,50162,78473,133498,255226,99242,82423,70968,38523,11963,891,3,0,0
과천,133,35532,211343,284615,344518,231514,172477,162254,172252,174274,175627,183901,264429,278363,274456,219995,140185,133072,128469,81580,24385,32,0,0
관악,2206,111005,226242,531173,581995,384051,316778,261688,293389,278800,265525,278190,330540,399956,531841,418793,271421,267470,221674,146300,14377,1,0,0
광나루(장신대),61,84048,293115,711751,1085277,659693,490174,448234,479158,503927,477221,515237,604747,687460,936101,629833,428282,421531,389244,196733,44489,360,0,0
광명,5,28722,59945,225594,119986,137229,80875,84475,96039,49179,120366,56149,200162,107277,303485,203433,100339,33296,65069,151,8,0,0,0
광명사거리,1737,368250,595508,1402943,1833982,1126064,813384,798037,867061,896264,868217,942232,1078913,1288325,1721458,1427361,886239,800243,689299,411465,107686,671,46,0
광운대,22957,100417,213383,535774,659847,400250,327648,338807,331363,344441,341656,340336,407014,475025,529438,430636,310091,277733,264437,185338,82320,573,0,0
광화문(세종문화회관),107,29640,373623,1181308,3909484,1629623,949853,1070729,1108018,1369020,1328882,1362139,1520901,2076344,3686092,1645472,1094646,1133097,789677,309910,49929,1207,1,0
광흥창(서강),68,53070,158192,447060,827605,480215,326465,313916,339671,329531,309501,338912,380919,464145,697502,431223,278818,265912,230225,128415,30637,188,3,0
교대(법원.검찰청),492,151923,626808,1521916,3309579,2829737,1751966,1720924,1720192,1982901,2044139,2051781,2129692,2863842,4268234,2358395,1676679,1733365,1629817,685707,159801,1180,44,0
구로,131598,378614,405378,904208,1586661,964395,687027,637163,646132,687858,668211,711752,804024,1115725,1591509,909824,645386,573726,483067,301348,204552,1392,0,0
구로디지털단지,3000,610912,958602,2740240,5664652,3607300,1811072,1568929,1647750,1847933,1784527,1881210,2181430,3041164,5131751,3543238,2256569,2147304,2003154,1170219,288094,5543,122,0
구룡,51,9851,42904,130318,122585,81840,61048,61016,63449,61189,55944,64271,113334,90309,97321,62269,38180,45928,30063,23286,2806,0,0,0
구리,8610,133773,327137,902769,890488,605314,475725,479858,483592,524752,501911,529108,636652,761554,914671,809134,545432,414337,412148,250895,54969,3,0,0
구반포,35,9780,45267,97863,157837,129308,115208,120147,133368,153872,150317,148231,163648,176991,224934,163045,105649,98469,95147,41049,11315,569,4,0
구산,74,68198,164857,467295,545177,328298,243642,236706,256888,246876,239499,261274,318411,319859,374892,334312,205751,170785,172914,102450,33101,114,7,0
구성,1120,36483,120936,327651,391811,229750,173728,157410,147807,153733,151636,178829,207953,246828,329944,270185,176258,161791,154922,96059,20589,17,0,0
구의(광진구청),493,187026,454632,1055578,1997733,1201675,744418,674285,717473,768176,750487,813075,921858,1139882,1659042,1231550,851387,827170,788220,477149,137755,2888,49,0
구일,3229,65283,163841,460549,551510,326057,226938,210370,254570,271186,260014,301428,401278,444531,588770,442761,301019,322881,286623,157341,16130,1,0,0
구파발,1569,143413,497925,1403973,1483489,949258,738879,675196,715239,735449,722850,775058,923160,1036580,1311658,1098453,712121,646937,586207,357306,111361,6630,247,0
국수,8,6869,18462,36124,55283,39917,36373,36807,33056,33417,33619,43910,49970,38181,37725,27483,26244,18143,15474,11435,4173,7,0,0
국회의사당,74,36168,150865,567968,1829153,830092,463394,446596,495886,553620,545545,556086,598089,934555,1652718,677367,432956,438329,305836,120686,25707,353,0,0
군자(능동),1334,215526,486030,1075650,1968615,1186755,737263,680381,739979,796145,785926,854078,986392,1251970,1829115,1398267,917523,858029,805850,481209,161493,17876,66,0
군포,900,98077,196279,583156,835846,256979,183186,171621,183148,178505,170481,193080,239137,397291,643970,346471,249427,207526,139308,81062,11449,0,0,0
굴봉산,3,897,1602,4484,8323,9934,14675,13368,9482,9246,10683,11892,9904,9279,6513,4384,3255,1967,1266,816,315,0,0,0
굴포천,33,87416,234230,542205,630344,396269,273077,264782,289634,298652,291461,303031,366146,461230,658695,600005,382450,331052,304366,189263,58229,9838,12,0
굽은다리(강동구민회관앞),13,83730,202784,557302,689472,409747,305085,293193,336338,342937,320907,344268,406642,464850,602054,526364,313820,303561,300579,160622,53003,220,47,0
금곡,155,20133,42866,95763,125252,72612,63746,53084,60270,55440,56640,61281,70582,79376,97947,70312,34801,37665,33292,21021,4718,0,0,0
금릉,691,40940,124627,282294,290497,191303,156953,146098,155531,165449,155319,175198,205896,262743,305064,262057,157129,155969,142382,88047,39948,12,0,0
금정,3874,397996,678198,1598556,2171340,1081354,783656,731928,765117,768973,756717,832220,1004985,1407470,2013785,1391042,964458,941542,817292,527886,166977,8594,0,0
금천구청,8104,157213,323577,806485,962263,511643,385642,370457,396033,398080,387569,422413,488921,592590,878194,628460,388909,359712,308585,185986,14544,32,0,0
금촌,905,48580,180754,398620,484865,313245,263287,247004,284619,282209,272459,292391,347858,386493,461210,364879,232540,207961,158519,103397,42716,28,0,0
금호,691,65115,164683,408797,615658,418554,297252,270464,278201,296534,283834,310870,349019,420740,540849,413896,295722,262392,238878,140609,38790,149,0,0
기흥,2148,71919,226640,588768,772572,430058,306540,307269,325563,335003,331600,353833,418059,529319,688679,600107,422033,361254,332997,232151,49821,23,0,0
길동,196,60542,151636,364270,537344,327936,274159,259758,283898,296937,291605,304535,346750,398769,519520,416979,251857,220373,186838,109790,34417,143,31,0
길음,351,143383,478781,1297084,1663217,1074870,779517,750742,765414,815079,785499,835657,953784,1149497,1444110,1159200,768884,693486,712392,440354,96102,428,1,0
김유정,83,1562,3266,11841,14809,20276,30353,36139,30040,29555,30183,32802,30234,25657,18864,9914,5976,3605,2787,1937,595,0,0,0
김포공항,502,148938,569277,1046452,1230844,990070,975613,1130874,1189768,1317235,1347762,1365572,1344814,1619721,1937526,1340206,921065,809127,739098,294952,52789,2137,18,0
까치산,1664,320068,660530,1850640,2316694,1287935,889197,826414,890803,905001,874284,971974,1131451,1317378,1902738,1689954,1109070,1012123,916079,568029,157774,6356,19,0
까치울,35,53870,170554,454298,621251,323029,211039,217315,229825,236610,228049,241834,297604,366552,501937,418505,273887,244019,223853,121860,30458,85,0,0
낙성대,998,175330,470954,1335860,2234971,1565371,982257,831769,926662,974147,917065,1008811,1120271,1358768,1930101,1614667,1095361,1060298,1042000,675978,184199,3929,137,0
남구로,276,278160,296897,726145,1776435,937263,492299,431938,427868,444022,423283,464803,548164,895250,1465204,824090,501242,468520,383352,196597,45132,173,9,0
남동인더스파크,0,11744,54141,215868,271340,60341,37483,42875,44143,50319,46715,51420,59765,158953,184374,86178,65817,43166,16314,8413,1643,0,0,0
남부터미널(예술의전당),610,51755,442848,1093822,2826861,1636485,1236902,1186554,1239942,1380225,1384306,1450260,1626650,2040284,2966172,1709152,1138862,989299,809909,349278,64901,420,5,0
남성,39,86715,215546,573538,950486,591500,402157,370415,375532,400919,371538,409265,451216,527165,725219,566731,387629,380943,333301,204964,61396,388,22,0
남영,1271,53033,152276,444155,1055044,605556,361639,338857,339961,362491,348357,383960,468512,568147,961730,501934,357731,343985,300096,166697,23966,4,0,0
남춘천,5503,17952,59914,84451,132057,146713,122106,176229,182634,148030,165385,153012,156060,184539,126826,167214,92511,79475,82814,38080,20722,1,0,0
남태령,322,7305,30232,92712,139582,72215,51595,47787,48974,48567,47343,50487,67258,78054,86106,52798,33010,27254,20089,10761,4535,106,3,0
남한산성입구(성남법원.검찰청),357,140167,324855,793147,1228495,761036,477003,404639,444514,455874,410390,474653,551066,649600,857541,647556,411923,394085,377096,219354,65017,503,0,0
내방,75,48733,221242,498232,1398548,817385,460760,396797,416797,466649,464653,477154,546792,701334,1253168,654886,424830,412539,339656,168019,54399,4220,26,0
노들,224,45770,86112,243203,300258,207087,160858,144153,153559,167600,151762,161524,181334,209584,272566,211284,145192,140624,128553,72644,20900,566,2,0
노량진,7782,307567,723812,1908190,2863007,1682821,1157601,1185896,1419082,1601017,1405613,1456645,1660095,2128661,2987653,2018995,1530437,1672664,1897893,863850,162611,3788,16,0
노원,2088,288784,733080,1640844,2270263,1854616,1525827,1499180,1676812,1819480,1839215,1947342,2164412,2415266,3050089,2559623,1800087,1563025,1479877,896950,261110,8968,64,0
녹번,314,121067,390164,826574,1093052,633698,433679,391625,409126,410984,391684,419790,525866,617992,814513,677012,438927,406702,372257,229106,62280,275,5,0
녹사평(용산구청),280,25717,86298,178745,318185,202897,169663,179015,211808,230275,242067,253011,322622,376336,481781,351828,250242,252063,237470,141990,27545,140,0,0
녹양,3364,71735,160121,298342,343121,207433,170895,154443,164905,170192,157358,168554,188001,233748,301892,246743,179383,134695,145033,89683,26649,20,0,0
