"","station","lat","lng","period1_2019","period2_2019","period1_2020","period2_2020","period1","period2","periodType1","periodType2"
"171","춘의",37.503663,126.787036,1993694,1697045,1742192,1478782,0.873851253000711,0.87138643936961,"Type 2: 0.8 to 0.9","Type 2: 0.8 to 0.9"
"172","충무로",37.561243,126.99428,5195606,5951926,4121887,4295268,0.793340950025849,0.721660181931025,"Type 3: 0.7 to 0.8","Type 3: 0.7 to 0.8"
"173","태릉입구",37.617983,127.07512,2397156,2577074,1840910,2013517,0.767955861028652,0.781319046329287,"Type 3: 0.7 to 0.8","Type 3: 0.7 to 0.8"
"174","하계",37.636352,127.06799,3319963,3080030,2588411,2368605,0.779650556346562,0.76902010694701,"Type 3: 0.7 to 0.8","Type 3: 0.7 to 0.8"
"175","학동",37.514229,127.031656,4921540,4329828,4481822,3943448,0.910654388666962,0.91076319890767,"Type 1: Over 0.9","Type 1: Over 0.9"
"176","학여울",37.496663,127.070594,416422,419964,280345,283088,0.673223316731585,0.674076825632673,"Type 4: Under 0.7","Type 4: Under 0.7"
"177","한강진",37.539631,127.001725,1215530,1939082,1044208,1391658,0.859055720549884,0.7176890920549,"Type 2: 0.8 to 0.9","Type 3: 0.7 to 0.8"
"178","한양대",37.555273,127.043655,1911747,1850573,1041580,1039819,0.544831507516424,0.561890290196604,"Type 4: Under 0.7","Type 4: Under 0.7"
"179","합정",37.549463,126.913739,6346060,9797373,5159356,7614685,0.81300145286997,0.77721701521418,"Type 2: 0.8 to 0.9","Type 3: 0.7 to 0.8"
"180","행당",37.557322,127.029476,1599092,1313888,1275843,1084344,0.797854657518142,0.825294088993887,"Type 3: 0.7 to 0.8","Type 2: 0.8 to 0.9"
"181","혜화",37.582336,127.001844,4470692,7715840,3288297,4878591,0.735523046544025,0.63228255121931,"Type 3: 0.7 to 0.8","Type 4: Under 0.7"
"182","홍대입구",37.557192,126.925381,6531279,16135722,4652884,9515297,0.712400128673113,0.589703826082279,"Type 3: 0.7 to 0.8","Type 4: Under 0.7"
"183","홍제",37.589066,126.943736,3211121,3102744,2471803,2442773,0.769763269587163,0.787294407788719,"Type 3: 0.7 to 0.8","Type 3: 0.7 to 0.8"
"184","화곡",37.541513,126.840461,5361174,4987505,4371916,4086793,0.815477356265624,0.81940629633454,"Type 2: 0.8 to 0.9","Type 2: 0.8 to 0.9"
"185","효창공원앞",37.539261,126.961351,1312519,1197606,1042173,989850,0.794025076970314,0.826523915210846,"Type 3: 0.7 to 0.8","Type 2: 0.8 to 0.9"
