"","station","lat","lng","period1_2019","period2_2019","period1_2020","period2_2020","period1","period2","periodType1","periodType2"
"34","답십리",37.566747,127.052704,3209720,2873387,2704053,2416138,0.84245759754745,0.84086758936405,"Type 2: 0.8 to 0.9","Type 2: 0.8 to 0.9"
"35","당고개",37.670272,127.079066,2275627,2005081,1880269,1661975,0.826264146101272,0.82888172597516,"Type 2: 0.8 to 0.9","Type 2: 0.8 to 0.9"
"36","당산",37.53438,126.902281,4127199,4276324,3175883,3354079,0.769500816413262,0.784336967919175,"Type 3: 0.7 to 0.8","Type 3: 0.7 to 0.8"
"37","대청",37.493514,127.079532,1715471,1659337,1341282,1342028,0.781873899354754,0.80877362464647,"Type 3: 0.7 to 0.8","Type 2: 0.8 to 0.9"
"38","대치",37.494612,127.063642,1804606,2117895,1325609,1555170,0.734569762042241,0.734299859058169,"Type 3: 0.7 to 0.8","Type 3: 0.7 to 0.8"
"39","도곡",37.490858,127.055381,1069925,986472,829646,766751,0.775424445638713,0.77726585245197,"Type 3: 0.7 to 0.8","Type 3: 0.7 to 0.8"
"40","도림천",37.514287,126.882768,264527,198393,219094,175933,0.828248156142851,0.886790360546995,"Type 2: 0.8 to 0.9","Type 2: 0.8 to 0.9"
"41","도봉산",37.689313,127.046222,2009472,1634593,1618286,1380871,0.805328962035799,0.844779709689201,"Type 2: 0.8 to 0.9","Type 2: 0.8 to 0.9"
"42","독립문",37.574571,126.957748,1417482,1246003,1050673,929523,0.741224932662284,0.746003821820654,"Type 3: 0.7 to 0.8","Type 3: 0.7 to 0.8"
"43","독바위",37.618456,126.933031,557624,469450,461203,402435,0.827085993429264,0.85724784322079,"Type 2: 0.8 to 0.9","Type 2: 0.8 to 0.9"
"44","돌곶이",37.610537,127.056431,1521169,1381644,1311935,1199974,0.862451838027201,0.868511715029342,"Type 2: 0.8 to 0.9","Type 2: 0.8 to 0.9"
"45","동대문",37.57142,127.009745,4564501,6197250,3613762,4155860,0.791710200085398,0.670597442413974,"Type 3: 0.7 to 0.8","Type 4: Under 0.7"
"46","동대입구",37.559052,127.005602,1883757,2175984,1206253,1259783,0.64034426945726,0.578948650357723,"Type 4: Under 0.7","Type 4: Under 0.7"
"47","동묘앞",37.572627,127.016429,2239965,3030088,1720158,2198294,0.767939677628891,0.725488500664007,"Type 3: 0.7 to 0.8","Type 3: 0.7 to 0.8"
"48","둔촌동",37.527788,127.136248,1479177,1608948,1170166,1269188,0.79109261433892,0.788830962840316,"Type 3: 0.7 to 0.8","Type 3: 0.7 to 0.8"
"49","디지털미디어시티",37.576646,126.900984,3148796,2596175,2629449,2218101,0.835064894645445,0.854372682889251,"Type 2: 0.8 to 0.9","Type 2: 0.8 to 0.9"
"50","뚝섬",37.547184,127.047367,3663159,3887943,3303581,3493279,0.901839368697892,0.898490281364722,"Type 1: Over 0.9","Type 2: 0.8 to 0.9"
"51","뚝섬유원지",37.53154,127.066704,1303977,1697358,1039059,1356070,0.796838441168824,0.798929866298094,"Type 3: 0.7 to 0.8","Type 3: 0.7 to 0.8"
"52","마곡",37.560183,126.825448,1308942,1136671,1332546,1196572,1.01803288457395,1.05269862607562,"Type 1: Over 0.9","Type 1: Over 0.9"
"53","마들",37.66494,127.057675,2248975,1810027,1845621,1560268,0.820649851599062,0.862013660569704,"Type 2: 0.8 to 0.9","Type 2: 0.8 to 0.9"
"54","마장",37.5661,127.042973,1122236,1012060,847439,772268,0.75513439240944,0.763065430903306,"Type 3: 0.7 to 0.8","Type 3: 0.7 to 0.8"
"55","마천",37.49499,127.152781,997488,850412,845442,734858,0.847571098599682,0.864119979492293,"Type 2: 0.8 to 0.9","Type 2: 0.8 to 0.9"
"56","마포",37.539574,126.945932,2697806,2778525,2277311,2276680,0.844134455924555,0.819384385600273,"Type 2: 0.8 to 0.9","Type 2: 0.8 to 0.9"
"57","마포구청",37.563515,126.903343,2581879,2307772,2078495,1910698,0.805031916677737,0.827940541786624,"Type 2: 0.8 to 0.9","Type 2: 0.8 to 0.9"
"58","망원",37.556094,126.910052,2069447,2709484,1706956,2312850,0.824836780067332,0.853612717403018,"Type 2: 0.8 to 0.9","Type 2: 0.8 to 0.9"
"59","매봉",37.486947,127.046769,2172777,2149920,1881173,1860869,0.865792025596736,0.86555267172732,"Type 2: 0.8 to 0.9","Type 2: 0.8 to 0.9"
"60","먹골",37.610637,127.077725,1799172,1807570,1502791,1490909,0.83526811222051,0.82481397677545,"Type 2: 0.8 to 0.9","Type 2: 0.8 to 0.9"
"61","면목",37.588579,127.087503,2951359,2655911,2398156,2207242,0.812559908841994,0.831067757918093,"Type 2: 0.8 to 0.9","Type 2: 0.8 to 0.9"
"62","명동",37.560989,126.986325,4120689,7335068,2546381,3263596,0.617950299088332,0.444930571877452,"Type 4: Under 0.7","Type 4: Under 0.7"
"63","명일",37.55137,127.143999,1453149,1479915,1214681,1260678,0.835895699615112,0.851858383758527,"Type 2: 0.8 to 0.9","Type 2: 0.8 to 0.9"
"64","모란",37.43213,127.129087,607123,692198,483069,533855,0.795669081882913,0.771246088546919,"Type 3: 0.7 to 0.8","Type 3: 0.7 to 0.8"
"65","목동",37.526065,126.864931,3214163,3574158,2553006,2838024,0.794298857898619,0.794039882959847,"Type 3: 0.7 to 0.8","Type 3: 0.7 to 0.8"
"66","무악재",37.582299,126.950291,732046,686751,585293,573089,0.799530357381913,0.834493142347081,"Type 3: 0.7 to 0.8","Type 2: 0.8 to 0.9"
"67","문래",37.517933,126.89476,4033162,3852691,3585660,3454439,0.88904437758761,0.896630173559208,"Type 2: 0.8 to 0.9","Type 2: 0.8 to 0.9"
"68","문정",37.485855,127.1225,4283324,3717903,3917371,3421192,0.914563315779988,0.920193991075076,"Type 1: Over 0.9","Type 1: Over 0.9"
"69","미아사거리",37.613292,127.030053,4638392,5186408,3859929,4239755,0.832169639823456,0.817474251929274,"Type 2: 0.8 to 0.9","Type 2: 0.8 to 0.9"
"70","반포",37.508178,127.011727,1100180,1069330,862597,812353,0.784050791688633,0.759684101259667,"Type 3: 0.7 to 0.8","Type 3: 0.7 to 0.8"
"71","발산",37.558598,126.837668,3079476,3618302,2719876,3004118,0.883226886652145,0.830256291487001,"Type 2: 0.8 to 0.9","Type 2: 0.8 to 0.9"
"72","방배",37.481426,126.997596,3279386,3520688,2485522,2601240,0.757922977045093,0.738844225901301,"Type 3: 0.7 to 0.8","Type 3: 0.7 to 0.8"
"73","방이",37.508857,127.126133,1237634,1353879,993724,1062555,0.802922350226319,0.784822720494224,"Type 2: 0.8 to 0.9","Type 3: 0.7 to 0.8"
"74","방화",37.577446,126.812741,1311414,1099989,1011162,888882,0.771047129281829,0.808082626280808,"Type 3: 0.7 to 0.8","Type 2: 0.8 to 0.9"
"75","버티고개",37.548013,127.007055,401088,411866,311761,334235,0.77728827588958,0.811513938999578,"Type 3: 0.7 to 0.8","Type 2: 0.8 to 0.9"
"76","보라매",37.499872,126.920428,1866814,1708163,1602972,1467735,0.85866722662247,0.859247624494852,"Type 2: 0.8 to 0.9","Type 2: 0.8 to 0.9"
"77","보문",37.585286,127.019381,1376487,1184205,1111454,1000360,0.807456953825209,0.844752386622249,"Type 2: 0.8 to 0.9","Type 2: 0.8 to 0.9"
"78","복정",37.470047,127.126662,1962583,1893655,1476134,1517991,0.75213838089905,0.801619619202019,"Type 3: 0.7 to 0.8","Type 2: 0.8 to 0.9"
"79","봉천",37.482362,126.941892,4347800,3888725,3687806,3300556,0.848200469202815,0.848750168757112,"Type 2: 0.8 to 0.9","Type 2: 0.8 to 0.9"
"80","부천시청",37.504631,126.763538,2076111,2355518,1749646,1831018,0.842751664048791,0.777331355565952,"Type 2: 0.8 to 0.9","Type 3: 0.7 to 0.8"
"81","부천종합운동장",37.50538,126.797337,996959,776218,763226,609426,0.765554049865641,0.785122220819409,"Type 3: 0.7 to 0.8","Type 3: 0.7 to 0.8"
"82","불광",37.610469,126.929887,3738165,4286752,2954119,3205503,0.790259124463473,0.747769640044491,"Type 3: 0.7 to 0.8","Type 3: 0.7 to 0.8"
"83","사가정",37.580894,127.088478,2684537,2772064,2331217,2403226,0.868386988147304,0.866944630427003,"Type 2: 0.8 to 0.9","Type 2: 0.8 to 0.9"
"84","사당",37.47653,126.981685,10096872,13768362,7781179,10184594,0.770652435724648,0.739709923373601,"Type 3: 0.7 to 0.8","Type 3: 0.7 to 0.8"
"85","산성",37.457122,127.149908,1045620,931130,900115,824436,0.860843327403837,0.885414496364632,"Type 2: 0.8 to 0.9","Type 2: 0.8 to 0.9"
"86","삼각지",37.534777,126.97311,1865073,2184529,1454524,1667655,0.779875104084398,0.763393390520336,"Type 3: 0.7 to 0.8","Type 3: 0.7 to 0.8"
"87","상계",37.660878,127.073572,3672747,3111818,2885503,2557267,0.78565253746038,0.821791955699209,"Type 3: 0.7 to 0.8","Type 2: 0.8 to 0.9"
"88","상도",37.502834,126.94791,1999279,1904154,1501930,1467222,0.751235820513295,0.770537467032604,"Type 3: 0.7 to 0.8","Type 3: 0.7 to 0.8"
"89","상동",37.505781,126.753083,2206304,2669671,1740106,1973444,0.788697296474103,0.739208689010743,"Type 3: 0.7 to 0.8","Type 3: 0.7 to 0.8"
"90","상수",37.547716,126.922852,1241395,2185553,877696,1491272,0.707023952891706,0.682331657022273,"Type 3: 0.7 to 0.8","Type 4: Under 0.7"
"91","상왕십리",37.564354,127.029354,2616490,2418954,2137216,1996111,0.816825594594285,0.825195931795313,"Type 2: 0.8 to 0.9","Type 2: 0.8 to 0.9"
"92","상일동",37.556712,127.166417,2552574,2039233,2724842,2234283,1.06748795529532,1.09564870713646,"Type 1: Over 0.9","Type 1: Over 0.9"
"93","서대문",37.565773,126.966641,3893123,3418975,3272391,2730295,0.840556797203685,0.798571209207438,"Type 2: 0.8 to 0.9","Type 3: 0.7 to 0.8"
"94","서초",37.491897,127.007917,4358338,4106305,3519571,3064043,0.807548886754538,0.746180081606213,"Type 2: 0.8 to 0.9","Type 3: 0.7 to 0.8"
"95","석계",37.614805,127.065851,2246119,2292130,1820507,1885859,0.81051226582385,0.82275394502057,"Type 2: 0.8 to 0.9","Type 2: 0.8 to 0.9"
"96","석촌",37.505431,127.106979,1367797,1536147,1095891,1237344,0.801208805107775,0.805485412528879,"Type 2: 0.8 to 0.9","Type 2: 0.8 to 0.9"
"97","선릉",37.504503,127.049008,9028326,9794728,7705242,8267601,0.853451902379245,0.844086839369097,"Type 2: 0.8 to 0.9","Type 2: 0.8 to 0.9"
"98","성수",37.544581,127.055961,6328339,6100325,5842984,5691381,0.923304519558766,0.932963571612988,"Type 1: Over 0.9","Type 1: Over 0.9"
"99","송정",37.561184,126.811973,1446500,1464927,943225,943933,0.652073971655721,0.644354974684745,"Type 4: Under 0.7","Type 4: Under 0.7"
"100","송파",37.499703,127.112183,1688242,1477603,1313879,1205154,0.778252762340944,0.815614207605155,"Type 3: 0.7 to 0.8","Type 2: 0.8 to 0.9"
"101","수락산",37.67785,127.055315,2284101,2214191,1863864,1818299,0.816016454613872,0.82120241659369,"Type 2: 0.8 to 0.9","Type 2: 0.8 to 0.9"
"102","수서",37.487371,127.10188,3024044,3236476,2360700,2509873,0.780643403336724,0.775495631668518,"Type 3: 0.7 to 0.8","Type 3: 0.7 to 0.8"
"103","수진",37.437428,127.140722,912821,834398,719246,647791,0.787937613179364,0.776357325880455,"Type 3: 0.7 to 0.8","Type 3: 0.7 to 0.8"
"104","시청",37.564718,126.977108,9748532,9843504,7922972,7126571,0.812734881518571,0.723987210245457,"Type 2: 0.8 to 0.9","Type 3: 0.7 to 0.8"
"105","신금호",37.554548,127.020331,1235114,1115444,973606,905121,0.788272175685807,0.811444590674207,"Type 3: 0.7 to 0.8","Type 2: 0.8 to 0.9"
"106","신길",37.517122,126.917169,749436,677264,692570,629032,0.924121606114465,0.928784048760897,"Type 1: Over 0.9","Type 1: Over 0.9"
"107","신답",37.57004,127.046481,325449,324349,267552,283628,0.822101158706894,0.874453135357285,"Type 2: 0.8 to 0.9","Type 2: 0.8 to 0.9"
"108","신당",37.565972,127.01782,3776359,4137720,3007432,3235751,0.79638403022594,0.782013040998424,"Type 3: 0.7 to 0.8","Type 3: 0.7 to 0.8"
"109","신대방",37.487462,126.913149,5084979,4563928,4127138,3764096,0.811633243716444,0.824749207261815,"Type 2: 0.8 to 0.9","Type 2: 0.8 to 0.9"
"110","신대방삼거리",37.499701,126.928276,3168001,2784330,2599091,2354451,0.820419879917967,0.845607740461799,"Type 2: 0.8 to 0.9","Type 2: 0.8 to 0.9"
"111","신도림",37.508725,126.891295,8211251,10539633,6430215,7804824,0.783098093092027,0.740521420432761,"Type 3: 0.7 to 0.8","Type 3: 0.7 to 0.8"
"112","신림",37.484201,126.929715,11542013,11840478,9456819,9510960,0.819338792981779,0.80325811170799,"Type 2: 0.8 to 0.9","Type 2: 0.8 to 0.9"
